Date, Close/Last, Volume, Open, High, Low
01/17/2020, 113.05, 3003267, 113.02, 113.096, 112.97
01/16/2020, 113.18, 2801378, 113.16, 113.21, 113.05
01/15/2020, 113.18, 3896304, 113.18, 113.19, 113.07
01/14/2020, 113.01, 3626984, 112.97, 113.02, 112.93
01/13/2020, 112.91, 4465340, 112.89, 112.94, 112.825
01/10/2020, 112.98, 4198053, 112.9, 112.99, 112.82
01/09/2020, 112.79, 9110852, 112.49, 112.79, 112.46
01/08/2020, 112.67, 7323117, 112.85, 112.94, 112.545
01/07/2020, 112.8, 2883005, 112.92, 112.92, 112.78
01/06/2020, 112.92, 8131608, 113.13, 113.13, 112.84
01/03/2020, 113.01, 3664283, 112.89, 113.05, 112.7814
01/02/2020, 112.68, 6791537, 112.68, 112.8, 112.56
12/31/2019, 112.37, 6807603, 112.54, 112.54, 112.365
12/30/2019, 112.63, 3979075, 112.42, 112.645, 112.34
12/27/2019, 112.63, 4733786, 112.6, 112.64, 112.58
12/26/2019, 112.48, 6072100, 112.42, 112.49, 112.32
12/24/2019, 112.38, 1887800, 112.17, 112.4, 112.13
12/23/2019, 112.24, 3148580, 112.38, 112.39, 112.18
12/20/2019, 112.32, 8809204, 112.21, 112.33, 112.15
12/19/2019, 112.3, 5613828, 112.19, 112.36, 112.13
12/18/2019, 112.37, 6516293, 112.55, 112.555, 112.36
12/17/2019, 112.59, 3016266, 112.69, 112.7, 112.52
12/16/2019, 112.58, 5012142, 112.68, 112.69, 112.5
12/13/2019, 112.81, 5910984, 112.58, 112.86, 112.4
12/12/2019, 112.36, 5080118, 112.79, 112.79, 112.22
12/11/2019, 112.84, 3764527, 112.67, 112.9, 112.61
12/10/2019, 112.54, 3761060, 112.67, 112.67, 112.49
12/09/2019, 112.58, 7406938, 112.69, 112.72, 112.565
12/06/2019, 112.52, 4648200, 112.47, 112.68, 112.41
12/05/2019, 112.68, 4374749, 112.58, 112.74, 112.53
12/04/2019, 112.81, 5806479, 112.87, 112.95, 112.68
