Date, Close/Last, Volume, Open, High, Low
01/17/2020, 331.95, 95846020, 331.7, 332.18, 330.8539
01/16/2020, 330.92, 54050330, 329.7, 330.92, 329.45
01/15/2020, 328.19, 72056600, 327.35, 329.02, 327.26
01/14/2020, 327.45, 63036380, 327.47, 328.62, 326.844
01/13/2020, 327.95, 47262010, 326.39, 327.96, 325.92
01/10/2020, 325.71, 53057390, 327.29, 327.46, 325.2
01/09/2020, 326.65, 48569600, 326.16, 326.73, 325.52
01/08/2020, 324.45, 68434150, 322.94, 325.78, 322.67
01/07/2020, 322.73, 42854810, 323.02, 323.54, 322.24
01/06/2020, 323.64, 55761950, 320.49, 323.73, 320.36
01/03/2020, 322.41, 77783120, 321.16, 323.64, 321.1
01/02/2020, 324.87, 59253830, 323.54, 324.89, 322.53
12/31/2019, 321.86, 57107000, 320.53, 322.13, 320.15
12/30/2019, 321.08, 49782730, 322.95, 323.1, 320.55
12/27/2019, 322.86, 42554820, 323.74, 323.8, 322.28
12/26/2019, 322.94, 31024190, 321.65, 322.95, 321.64
12/24/2019, 321.23, 20270010, 321.47, 321.52, 320.9
12/23/2019, 321.22, 53015640, 321.59, 321.65, 321.06
12/20/2019, 320.73, 149338200, 320.46, 321.9742, 319.3873
12/19/2019, 320.9, 85388420, 319.8, 320.98, 319.5246
12/18/2019, 319.59, 48199960, 320, 320.25, 319.53
12/17/2019, 319.57, 61131770, 319.92, 320.25, 319.48
12/16/2019, 319.5, 82836130, 319.22, 320.15, 317.2542
12/13/2019, 317.32, 81546490, 316.87, 318.67, 316.02
12/12/2019, 317.13, 96585800, 314.43, 317.99, 314.17
12/11/2019, 314.42, 53521450, 314.03, 314.7, 313.4393
12/10/2019, 313.53, 53107130, 313.82, 314.55, 312.81
12/09/2019, 313.88, 34904320, 314.44, 315.18, 313.8
12/06/2019, 314.87, 48956770, 314.12, 315.31, 314.11
12/05/2019, 312.02, 40781670, 312.23, 312.25, 310.58
12/04/2019, 311.46, 49190400, 310.7, 312.12, 310.32
12/03/2019, 309.55, 75172710, 308.65, 309.64, 307.13
12/02/2019, 311.64, 76110030, 314.59, 314.66, 311.17
11/29/2019, 314.31, 36592740, 314.86, 315.13, 314.06
11/27/2019, 315.48, 44793180, 314.61, 315.48, 314.37
11/26/2019, 314.08, 37727950, 313.41, 314.28, 313.06
11/25/2019, 313.37, 48762680, 311.98, 313.37, 311.98
11/22/2019, 310.96, 44850230, 311.09, 311.24, 309.85
11/21/2019, 310.27, 54664690, 310.89, 311.01, 309.39
11/20/2019, 310.77, 79696280, 311.28, 311.85, 309.06
11/19/2019, 311.93, 67927820, 312.68, 312.69, 311.22
11/18/2019, 312.02, 49327980, 311.53, 312.28, 311.03
11/15/2019, 311.79, 62706190, 311.02, 311.84, 310.26
11/14/2019, 309.55, 52001870, 308.79, 309.64, 308.09
11/13/2019, 309.1, 54459020, 307.91, 309.54, 307.66
11/12/2019, 309, 46484620, 308.75, 309.99, 308.15
11/11/2019, 308.35, 35934910, 307.42, 308.54, 307.27
11/08/2019, 308.94, 49068800, 307.8, 309.0036, 307.03
11/07/2019, 308.18, 54272270, 308.57, 309.65, 307.66
11/06/2019, 307.1, 46487110, 307.03, 307.4, 306.06
11/05/2019, 307.03, 42933220, 307.59, 307.9195, 306.71
11/04/2019, 307.37, 60606920, 307.85, 308, 306.96
11/01/2019, 306.14, 71141520, 304.92, 306.19, 304.74
10/31/2019, 303.33, 69053790, 304.13, 304.13, 301.73
10/30/2019, 304.14, 49643930, 303.43, 304.55, 301.99
10/29/2019, 303.21, 44284920, 303, 304.23, 302.86
10/28/2019, 303.3, 42146970, 302.94, 303.85, 302.91
